,Estimate_Median_value_(dollars),Margin_of_Error_Median_value_(dollars),CensusTract,Geographic_Area_Name
826,293900,16614,6019005514,"Census Tract 55.14, Fresno County, California"
827,510200,241419,6019005515,"Census Tract 55.15, Fresno County, California"
828,262700,18732,6019005516,"Census Tract 55.16, Fresno County, California"
829,472800,138715,6019005517,"Census Tract 55.17, Fresno County, California"
830,327700,32291,6019005518,"Census Tract 55.18, Fresno County, California"
831,390900,26822,6019005520,"Census Tract 55.20, Fresno County, California"
832,356400,15635,6019005522,"Census Tract 55.22, Fresno County, California"
833,352900,24550,6019005524,"Census Tract 55.24, Fresno County, California"
834,388100,54946,6019005525,"Census Tract 55.25, Fresno County, California"
835,131700,14232,6019005602,"Census Tract 56.02, Fresno County, California"
836,212700,15239,6019005605,"Census Tract 56.05, Fresno County, California"
837,258000,30587,6019005606,"Census Tract 56.06, Fresno County, California"
838,33200,13683,6019005607,"Census Tract 56.07, Fresno County, California"
840,165600,10613,6019005701,"Census Tract 57.01, Fresno County, California"
841,226800,6182,6019005702,"Census Tract 57.02, Fresno County, California"
842,230200,9866,6019005703,"Census Tract 57.03, Fresno County, California"
843,194200,10641,6019005704,"Census Tract 57.04, Fresno County, California"
844,161500,7105,6019005801,"Census Tract 58.01, Fresno County, California"
845,321000,26250,6019005802,"Census Tract 58.02, Fresno County, California"
846,153700,7629,6019005804,"Census Tract 58.04, Fresno County, California"
847,239100,12372,6019005805,"Census Tract 58.05, Fresno County, California"
848,277100,12453,6019005904,"Census Tract 59.04, Fresno County, California"
849,370100,25392,6019005905,"Census Tract 59.05, Fresno County, California"
850,337700,36544,6019005906,"Census Tract 59.06, Fresno County, California"
851,305400,22339,6019005907,"Census Tract 59.07, Fresno County, California"
852,294900,15044,6019005909,"Census Tract 59.09, Fresno County, California"
853,284400,15235,6019005911,"Census Tract 59.11, Fresno County, California"
854,379400,22722,6019005912,"Census Tract 59.12, Fresno County, California"
855,177800,12566,6019006000,"Census Tract 60, Fresno County, California"
856,165100,10330,6019006100,"Census Tract 61, Fresno County, California"
857,125200,14372,6019006201,"Census Tract 62.01, Fresno County, California"
858,140700,13884,6019006202,"Census Tract 62.02, Fresno County, California"
859,233600,38196,6019006300,"Census Tract 63, Fresno County, California"
860,290100,21791,6019006402,"Census Tract 64.02, Fresno County, California"
861,172100,33174,6019006403,"Census Tract 64.03, Fresno County, California"
862,323900,41309,6019006404,"Census Tract 64.04, Fresno County, California"
863,255100,22433,6019006405,"Census Tract 64.05, Fresno County, California"
864,117100,10329,6019006501,"Census Tract 65.01, Fresno County, California"
865,124200,18724,6019006502,"Census Tract 65.02, Fresno County, California"
866,123900,13357,6019006602,"Census Tract 66.02, Fresno County, California"
867,195600,39330,6019006603,"Census Tract 66.03, Fresno County, California"
868,153300,8111,6019006604,"Census Tract 66.04, Fresno County, California"
869,171600,7708,6019006700,"Census Tract 67, Fresno County, California"
870,120700,16791,6019006802,"Census Tract 68.02, Fresno County, California"
871,224800,18438,6019006900,"Census Tract 69, Fresno County, California"
872,154500,20379,6019007002,"Census Tract 70.02, Fresno County, California"
873,178100,14809,6019007003,"Census Tract 70.03, Fresno County, California"
874,182700,33352,6019007004,"Census Tract 70.04, Fresno County, California"
875,134400,20596,6019007100,"Census Tract 71, Fresno County, California"
876,277800,25784,6019007201,"Census Tract 72.01, Fresno County, California"
877,168100,21065,6019007202,"Census Tract 72.02, Fresno County, California"
878,272300,72303,6019007300,"Census Tract 73, Fresno County, California"
879,153400,23966,6019007400,"Census Tract 74, Fresno County, California"
880,212700,33370,6019007500,"Census Tract 75, Fresno County, California"
881,250500,61764,6019007600,"Census Tract 76, Fresno County, California"
882,158400,8506,6019007700,"Census Tract 77, Fresno County, California"
883,154100,46266,6019007801,"Census Tract 78.01, Fresno County, California"
884,114600,13055,6019007802,"Census Tract 78.02, Fresno County, California"
886,131400,24196,6019007902,"Census Tract 79.02, Fresno County, California"
887,159500,9794,6019008000,"Census Tract 80, Fresno County, California"
888,150000,23918,6019008100,"Census Tract 81, Fresno County, California"
889,124900,38199,6019008200,"Census Tract 82, Fresno County, California"
890,104900,8356,6019008301,"Census Tract 83.01, Fresno County, California"
891,116400,9404,6019008302,"Census Tract 83.02, Fresno County, California"
892,120600,19825,6019008401,"Census Tract 84.01, Fresno County, California"
894,115800,28380,6019008501,"Census Tract 85.01, Fresno County, California"
895,117800,19571,6019008502,"Census Tract 85.02, Fresno County, California"
896,189100,23860,6021010100,"Census Tract 101, Glenn County, California"
897,238400,37360,6021010200,"Census Tract 102, Glenn County, California"
898,275000,33847,6021010300,"Census Tract 103, Glenn County, California"
899,184600,21943,6021010400,"Census Tract 104, Glenn County, California"
900,173800,20426,6021010501,"Census Tract 105.01, Glenn County, California"
901,328500,40671,6021010502,"Census Tract 105.02, Glenn County, California"
902,253300,37247,6023000100,"Census Tract 1, Humboldt County, California"
903,213900,20549,6023000200,"Census Tract 2, Humboldt County, California"
904,221600,16113,6023000300,"Census Tract 3, Humboldt County, California"
905,257800,17688,6023000400,"Census Tract 4, Humboldt County, California"
906,194900,31802,6023000500,"Census Tract 5, Humboldt County, California"
907,264400,42234,6023000600,"Census Tract 6, Humboldt County, California"
908,286000,17041,6023000700,"Census Tract 7, Humboldt County, California"
909,273900,19448,6023000800,"Census Tract 8, Humboldt County, California"
910,378300,19000,6023000900,"Census Tract 9, Humboldt County, California"
911,356100,37338,6023001000,"Census Tract 10, Humboldt County, California"
912,264700,20275,6023001101,"Census Tract 11.01, Humboldt County, California"
913,391400,38479,6023001200,"Census Tract 12, Humboldt County, California"
914,200000,45266,6023001300,"Census Tract 13, Humboldt County, California"
915,230100,34439,6023010102,"Census Tract 101.02, Humboldt County, California"
916,363000,36107,6023010200,"Census Tract 102, Humboldt County, California"
917,339900,18750,6023010300,"Census Tract 103, Humboldt County, California"
918,333300,25961,6023010400,"Census Tract 104, Humboldt County, California"
919,268100,10247,6023010501,"Census Tract 105.01, Humboldt County, California"
920,317100,32371,6023010502,"Census Tract 105.02, Humboldt County, California"
921,398500,31237,6023010600,"Census Tract 106, Humboldt County, California"
922,246000,15316,6023010700,"Census Tract 107, Humboldt County, California"
923,268600,35040,6023010800,"Census Tract 108, Humboldt County, California"
924,244200,13859,6023010901,"Census Tract 109.01, Humboldt County, California"
925,320400,20259,6023010902,"Census Tract 109.02, Humboldt County, California"
926,257600,14584,6023011000,"Census Tract 110, Humboldt County, California"
927,217200,23985,6023011100,"Census Tract 111, Humboldt County, California"
928,337900,18133,6023011200,"Census Tract 112, Humboldt County, California"
929,377000,71736,6023011500,"Census Tract 115, Humboldt County, California"
930,319300,52939,6023011600,"Census Tract 116, Humboldt County, California"
931,120000,25100,6023940000,"Census Tract 9400, Humboldt County, California"
933,244400,127257,6025010101,"Census Tract 101.01, Imperial County, California"
934,75800,15213,6025010102,"Census Tract 101.02, Imperial County, California"
935,112800,21385,6025010200,"Census Tract 102, Imperial County, California"
936,206800,53084,6025010300,"Census Tract 103, Imperial County, California"
937,111000,6686,6025010400,"Census Tract 104, Imperial County, California"
938,165800,12134,6025010500,"Census Tract 105, Imperial County, California"
939,169100,18597,6025010600,"Census Tract 106, Imperial County, California"
940,102200,21673,6025010700,"Census Tract 107, Imperial County, California"
941,218100,22522,6025010800,"Census Tract 108, Imperial County, California"
942,134300,21482,6025010900,"Census Tract 109, Imperial County, California"
943,182500,9824,6025011000,"Census Tract 110, Imperial County, California"
944,106700,35896,6025011100,"Census Tract 111, Imperial County, California"
945,183700,11824,6025011201,"Census Tract 112.01, Imperial County, California"
946,57300,31718,6025011202,"Census Tract 112.02, Imperial County, California"
947,155100,10786,6025011300,"Census Tract 113, Imperial County, California"
948,94100,10157,6025011400,"Census Tract 114, Imperial County, California"
949,103000,19231,6025011500,"Census Tract 115, Imperial County, California"
950,123900,36650,6025011600,"Census Tract 116, Imperial County, California"
951,149000,13953,6025011700,"Census Tract 117, Imperial County, California"
952,197200,43038,6025011801,"Census Tract 118.01, Imperial County, California"
953,152700,18641,6025011802,"Census Tract 118.02, Imperial County, California"
954,222300,13482,6025011803,"Census Tract 118.03, Imperial County, California"
955,172700,10302,6025011900,"Census Tract 119, Imperial County, California"
956,110600,12304,6025012001,"Census Tract 120.01, Imperial County, California"
957,179800,26730,6025012002,"Census Tract 120.02, Imperial County, California"
958,124500,51355,6025012100,"Census Tract 121, Imperial County, California"
959,129500,18799,6025012200,"Census Tract 122, Imperial County, California"
960,89400,9639,6025012301,"Census Tract 123.01, Imperial County, California"
961,64800,5154,6025012302,"Census Tract 123.02, Imperial County, California"
962,34700,21387,6025012400,"Census Tract 124, Imperial County, California"
963,78900,11332,6025940000,"Census Tract 9400, Imperial County, California"
964,64600,36476,6027000100,"Census Tract 1, Inyo County, California"
965,350000,28553,6027000200,"Census Tract 2, Inyo County, California"
966,399800,34881,6027000300,"Census Tract 3, Inyo County, California"
967,214900,86662,6027000400,"Census Tract 4, Inyo County, California"
968,209800,17081,6027000500,"Census Tract 5, Inyo County, California"
969,151000,34165,6027000800,"Census Tract 8, Inyo County, California"
970,155400,7757,6029000101,"Census Tract 1.01, Kern County, California"
971,116300,5055,6029000102,"Census Tract 1.02, Kern County, California"
972,108300,18791,6029000200,"Census Tract 2, Kern County, California"
973,81700,17339,6029000300,"Census Tract 3, Kern County, California"
974,15800,14493,6029000400,"Census Tract 4, Kern County, California"
975,277400,11985,6029000503,"Census Tract 5.03, Kern County, California"
976,249300,15863,6029000504,"Census Tract 5.04, Kern County, California"
977,237900,10814,6029000505,"Census Tract 5.05, Kern County, California"
978,222100,48450,6029000506,"Census Tract 5.06, Kern County, California"
979,226200,16404,6029000507,"Census Tract 5.07, Kern County, California"
980,30000,12646,6029000600,"Census Tract 6, Kern County, California"
981,152500,12761,6029000700,"Census Tract 7, Kern County, California"
982,123600,13877,6029000800,"Census Tract 8, Kern County, California"
983,150700,14905,6029000902,"Census Tract 9.02, Kern County, California"
984,162300,18399,6029000903,"Census Tract 9.03, Kern County, California"
985,138400,8264,6029000904,"Census Tract 9.04, Kern County, California"
986,152000,14459,6029000905,"Census Tract 9.05, Kern County, California"
987,139800,12582,6029000906,"Census Tract 9.06, Kern County, California"
988,107700,4948,6029000907,"Census Tract 9.07, Kern County, California"
989,173100,9767,6029000908,"Census Tract 9.08, Kern County, California"
990,261300,28054,6029000909,"Census Tract 9.09, Kern County, California"
991,205800,10996,6029000910,"Census Tract 9.10, Kern County, California"
992,138900,18713,6029001000,"Census Tract 10, Kern County, California"
993,89300,12138,6029001101,"Census Tract 11.01, Kern County, California"
994,76700,5467,6029001102,"Census Tract 11.02, Kern County, California"
995,69500,18664,6029001103,"Census Tract 11.03, Kern County, California"
996,105300,20484,6029001201,"Census Tract 12.01, Kern County, California"
997,86100,10664,6029001202,"Census Tract 12.02, Kern County, California"
998,80200,8931,6029001300,"Census Tract 13, Kern County, California"
999,71000,10637,6029001400,"Census Tract 14, Kern County, California"
1000,67100,9765,6029001500,"Census Tract 15, Kern County, California"
1001,95900,20085,6029001600,"Census Tract 16, Kern County, California"
1002,240700,23419,6029001700,"Census Tract 17, Kern County, California"
1003,185100,9257,6029001801,"Census Tract 18.01, Kern County, California"
1004,212500,18082,6029001802,"Census Tract 18.02, Kern County, California"
1005,156500,10707,6029001901,"Census Tract 19.01, Kern County, California"
1006,113300,36771,6029001902,"Census Tract 19.02, Kern County, California"
1007,160600,35357,6029002000,"Census Tract 20, Kern County, California"
1008,80400,30224,6029002100,"Census Tract 21, Kern County, California"
1009,67000,5857,6029002200,"Census Tract 22, Kern County, California"
1010,105700,10577,6029002301,"Census Tract 23.01, Kern County, California"
1011,63700,7613,6029002302,"Census Tract 23.02, Kern County, California"
1012,146400,23026,6029002400,"Census Tract 24, Kern County, California"
1013,85000,12620,6029002500,"Census Tract 25, Kern County, California"
1014,84800,12731,6029002600,"Census Tract 26, Kern County, California"
1015,97300,8958,6029002700,"Census Tract 27, Kern County, California"
1016,154000,7263,6029002804,"Census Tract 28.04, Kern County, California"
1017,245800,36826,6029002806,"Census Tract 28.06, Kern County, California"
1018,304000,28751,6029002807,"Census Tract 28.07, Kern County, California"
1019,295700,20742,6029002808,"Census Tract 28.08, Kern County, California"
1020,425700,33873,6029002811,"Census Tract 28.11, Kern County, California"
1021,119300,18538,6029002812,"Census Tract 28.12, Kern County, California"
1022,101400,17695,6029002813,"Census Tract 28.13, Kern County, California"
1023,154800,19579,6029002814,"Census Tract 28.14, Kern County, California"
1024,138700,8547,6029002815,"Census Tract 28.15, Kern County, California"
1025,107800,14707,6029002816,"Census Tract 28.16, Kern County, California"
1026,122200,6184,6029002817,"Census Tract 28.17, Kern County, California"
1027,222300,11194,6029002818,"Census Tract 28.18, Kern County, California"
1028,152500,18370,6029002819,"Census Tract 28.19, Kern County, California"
1029,221000,15282,6029002820,"Census Tract 28.20, Kern County, California"
1030,171100,12131,6029002821,"Census Tract 28.21, Kern County, California"
1031,111900,7083,6029002900,"Census Tract 29, Kern County, California"
1032,79800,13217,6029003000,"Census Tract 30, Kern County, California"
1033,75100,7136,6029003103,"Census Tract 31.03, Kern County, California"
1034,143800,10388,6029003112,"Census Tract 31.12, Kern County, California"
1035,107600,15142,6029003113,"Census Tract 31.13, Kern County, California"
1036,140100,27950,6029003114,"Census Tract 31.14, Kern County, California"
1037,113300,7417,6029003115,"Census Tract 31.15, Kern County, California"
1038,105400,10116,6029003121,"Census Tract 31.21, Kern County, California"
1039,121800,19431,6029003122,"Census Tract 31.22, Kern County, California"
1040,218700,12144,6029003123,"Census Tract 31.23, Kern County, California"
1041,175900,19057,6029003124,"Census Tract 31.24, Kern County, California"
1042,122500,8590,6029003202,"Census Tract 32.02, Kern County, California"
1043,215700,12472,6029003203,"Census Tract 32.03, Kern County, California"
1044,316800,45689,6029003204,"Census Tract 32.04, Kern County, California"
1045,212200,18437,6029003205,"Census Tract 32.05, Kern County, California"
1046,236000,9594,6029003206,"Census Tract 32.06, Kern County, California"
1047,62900,15730,6029003303,"Census Tract 33.03, Kern County, California"
1048,118400,16715,6029003304,"Census Tract 33.04, Kern County, California"
1049,157900,28307,6029003305,"Census Tract 33.05, Kern County, California"
1050,198000,25529,6029003306,"Census Tract 33.06, Kern County, California"
1051,95800,9847,6029003400,"Census Tract 34, Kern County, California"
1052,132900,19945,6029003500,"Census Tract 35, Kern County, California"
1053,134000,29643,6029003600,"Census Tract 36, Kern County, California"
1054,137700,24701,6029003700,"Census Tract 37, Kern County, California"
1055,341100,18843,6029003803,"Census Tract 38.03, Kern County, California"
1056,244100,12590,6029003804,"Census Tract 38.04, Kern County, California"
1057,254100,8541,6029003805,"Census Tract 38.05, Kern County, California"
1058,302300,19057,6029003806,"Census Tract 38.06, Kern County, California"
1059,177300,20514,6029003807,"Census Tract 38.07, Kern County, California"
1060,193500,12500,6029003808,"Census Tract 38.08, Kern County, California"
1061,340600,19662,6029003809,"Census Tract 38.09, Kern County, California"
1062,416500,19507,6029003810,"Census Tract 38.10, Kern County, California"
1063,227600,15554,6029003811,"Census Tract 38.11, Kern County, California"
1064,201800,18214,6029003812,"Census Tract 38.12, Kern County, California"
1065,318700,23945,6029003813,"Census Tract 38.13, Kern County, California"
1066,163500,4223,6029003900,"Census Tract 39, Kern County, California"
1067,144800,15028,6029004000,"Census Tract 40, Kern County, California"
1068,159000,8707,6029004101,"Census Tract 41.01, Kern County, California"
1069,86800,20484,6029004102,"Census Tract 41.02, Kern County, California"
1070,219100,57631,6029004200,"Census Tract 42, Kern County, California"
1071,145300,14652,6029004301,"Census Tract 43.01, Kern County, California"
1073,134000,19657,6029004401,"Census Tract 44.01, Kern County, California"
1074,117000,19735,6029004402,"Census Tract 44.02, Kern County, California"
1075,123200,13907,6029004500,"Census Tract 45, Kern County, California"
1078,141300,18906,6029004604,"Census Tract 46.04, Kern County, California"
1079,135400,10604,6029004701,"Census Tract 47.01, Kern County, California"
1080,79300,4945,6029004702,"Census Tract 47.02, Kern County, California"
1081,125300,16085,6029004800,"Census Tract 48, Kern County, California"
1082,124200,43340,6029004901,"Census Tract 49.01, Kern County, California"
1083,159100,7544,6029004902,"Census Tract 49.02, Kern County, California"
1084,141900,32129,6029005003,"Census Tract 50.03, Kern County, California"
1085,168600,14269,6029005004,"Census Tract 50.04, Kern County, California"
1086,152700,34982,6029005103,"Census Tract 51.03, Kern County, California"
1087,269100,20607,6029005104,"Census Tract 51.04, Kern County, California"
1088,172600,41842,6029005201,"Census Tract 52.01, Kern County, California"
1089,125100,22410,6029005203,"Census Tract 52.03, Kern County, California"
1090,107300,16194,6029005204,"Census Tract 52.04, Kern County, California"
1091,69000,65376,6029005300,"Census Tract 53, Kern County, California"
1092,193700,31784,6029005401,"Census Tract 54.01, Kern County, California"
1093,192700,10311,6029005402,"Census Tract 54.02, Kern County, California"
1094,145600,15315,6029005403,"Census Tract 54.03, Kern County, California"
1095,177100,12722,6029005404,"Census Tract 54.04, Kern County, California"
1096,217800,43835,6029005501,"Census Tract 55.01, Kern County, California"
1097,126000,44649,6029005506,"Census Tract 55.06, Kern County, California"
1098,97900,6642,6029005507,"Census Tract 55.07, Kern County, California"
1099,83400,4964,6029005508,"Census Tract 55.08, Kern County, California"
1100,55700,12941,6029005600,"Census Tract 56, Kern County, California"
1102,154800,13042,6029005801,"Census Tract 58.01, Kern County, California"
1103,98300,19516,6029005802,"Census Tract 58.02, Kern County, California"
1104,62200,5488,6029005900,"Census Tract 59, Kern County, California"
1106,191000,10594,6029006003,"Census Tract 60.03, Kern County, California"
1107,148200,43114,6029006004,"Census Tract 60.04, Kern County, California"
1108,242800,20153,6029006006,"Census Tract 60.06, Kern County, California"
1109,230500,14809,6029006007,"Census Tract 60.07, Kern County, California"
1110,282300,33386,6029006008,"Census Tract 60.08, Kern County, California"
1111,175500,20347,6029006100,"Census Tract 61, Kern County, California"
1112,200000,42885,6029006201,"Census Tract 62.01, Kern County, California"
1113,134500,13550,6029006202,"Census Tract 62.02, Kern County, California"
1114,101500,6775,6029006301,"Census Tract 63.01, Kern County, California"
1115,88500,6159,6029006303,"Census Tract 63.03, Kern County, California"
1116,91400,15030,6029006304,"Census Tract 63.04, Kern County, California"
1117,80800,7351,6029006401,"Census Tract 64.01, Kern County, California"
1118,103600,8173,6029006403,"Census Tract 64.03, Kern County, California"
1119,63600,11227,6029006404,"Census Tract 64.04, Kern County, California"
1120,52600,9500,6029006500,"Census Tract 65, Kern County, California"
1121,299400,42258,6031000100,"Census Tract 1, Kings County, California"
1122,308500,30739,6031000200,"Census Tract 2, Kings County, California"
1124,221700,28245,6031000402,"Census Tract 4.02, Kings County, California"
1125,165900,9893,6031000403,"Census Tract 4.03, Kings County, California"
1126,191700,6545,6031000404,"Census Tract 4.04, Kings County, California"
1127,162600,15033,6031000405,"Census Tract 4.05, Kings County, California"
1128,121900,12554,6031000500,"Census Tract 5, Kings County, California"
1129,234100,10815,6031000601,"Census Tract 6.01, Kings County, California"
1130,220000,17670,6031000602,"Census Tract 6.02, Kings County, California"
1131,176900,9108,6031000701,"Census Tract 7.01, Kings County, California"
1132,151800,8526,6031000702,"Census Tract 7.02, Kings County, California"
1133,131900,22991,6031000800,"Census Tract 8, Kings County, California"
1134,161100,47092,6031000900,"Census Tract 9, Kings County, California"
1135,213000,10764,6031001001,"Census Tract 10.01, Kings County, California"
1136,106200,15006,6031001002,"Census Tract 10.02, Kings County, California"
1137,128700,12470,6031001003,"Census Tract 10.03, Kings County, California"
1138,102800,13723,6031001100,"Census Tract 11, Kings County, California"
1139,283200,25022,6031001200,"Census Tract 12, Kings County, California"
1140,111700,77850,6031001300,"Census Tract 13, Kings County, California"
1141,116500,19469,6031001401,"Census Tract 14.01, Kings County, California"
1142,95300,23289,6031001402,"Census Tract 14.02, Kings County, California"
1143,104800,16426,6031001500,"Census Tract 15, Kings County, California"
1144,86100,36525,6031001601,"Census Tract 16.01, Kings County, California"
1146,116600,9293,6031001701,"Census Tract 17.01, Kings County, California"
1148,200300,61379,6033000100,"Census Tract 1, Lake County, California"
1149,191900,17572,6033000300,"Census Tract 3, Lake County, California"
1150,169100,29329,6033000400,"Census Tract 4, Lake County, California"
1151,87000,7504,6033000501,"Census Tract 5.01, Lake County, California"
1152,141600,38229,6033000502,"Census Tract 5.02, Lake County, California"
1153,170500,24919,6033000600,"Census Tract 6, Lake County, California"
1154,114300,38145,6033000701,"Census Tract 7.01, Lake County, California"
1155,80300,10210,6033000702,"Census Tract 7.02, Lake County, California"
1156,65900,13309,6033000801,"Census Tract 8.01, Lake County, California"
1157,83100,18004,6033000802,"Census Tract 8.02, Lake County, California"
1158,198700,36248,6033000900,"Census Tract 9, Lake County, California"
1159,195400,37014,6033001000,"Census Tract 10, Lake County, California"
1160,228100,35213,6033001100,"Census Tract 11, Lake County, California"
1161,141200,25292,6033001200,"Census Tract 12, Lake County, California"
1162,226400,38286,6033001300,"Census Tract 13, Lake County, California"
1163,190700,51887,6035040100,"Census Tract 401, Lassen County, California"
1164,108400,19590,6035040200,"Census Tract 402, Lassen County, California"
1165,216200,13581,6035040302,"Census Tract 403.02, Lassen County, California"
1166,142600,25302,6035040303,"Census Tract 403.03, Lassen County, California"
1167,162500,9641,6035040304,"Census Tract 403.04, Lassen County, California"
1168,166700,8754,6035040305,"Census Tract 403.05, Lassen County, California"
1169,225700,27236,6035040400,"Census Tract 404, Lassen County, California"
1170,217000,22108,6035040500,"Census Tract 405, Lassen County, California"
1171,159400,21526,6035040600,"Census Tract 406, Lassen County, California"
1172,372800,24195,6037101110,"Census Tract 1011.10, Los Angeles County, California"
1173,515300,42421,6037101122,"Census Tract 1011.22, Los Angeles County, California"
1174,318200,42402,6037101210,"Census Tract 1012.10, Los Angeles County, California"
1175,370200,49338,6037101220,"Census Tract 1012.20, Los Angeles County, California"
1176,464700,27550,6037101300,"Census Tract 1013, Los Angeles County, California"
1177,523100,45046,6037101400,"Census Tract 1014, Los Angeles County, California"
1178,481600,31733,6037102103,"Census Tract 1021.03, Los Angeles County, California"
1179,433200,23171,6037102104,"Census Tract 1021.04, Los Angeles County, California"
1180,362100,21935,6037102105,"Census Tract 1021.05, Los Angeles County, California"
1181,537300,48353,6037102107,"Census Tract 1021.07, Los Angeles County, California"
1182,431000,15938,6037103101,"Census Tract 1031.01, Los Angeles County, California"
1183,366900,25176,6037103102,"Census Tract 1031.02, Los Angeles County, California"
1184,440200,26393,6037103200,"Census Tract 1032, Los Angeles County, California"
1185,623500,29189,6037103300,"Census Tract 1033, Los Angeles County, California"
1186,399600,34118,6037103400,"Census Tract 1034, Los Angeles County, California"
1187,348600,13537,6037104103,"Census Tract 1041.03, Los Angeles County, California"
1188,244600,73474,6037104105,"Census Tract 1041.05, Los Angeles County, California"
1189,251200,43528,6037104108,"Census Tract 1041.08, Los Angeles County, California"
1190,337600,18792,6037104124,"Census Tract 1041.24, Los Angeles County, California"
1191,318800,28253,6037104201,"Census Tract 1042.01, Los Angeles County, California"
1192,336800,16368,6037104203,"Census Tract 1042.03, Los Angeles County, California"
1193,283800,25455,6037104204,"Census Tract 1042.04, Los Angeles County, California"
1194,301600,26074,6037104310,"Census Tract 1043.10, Los Angeles County, California"
1195,285400,35786,6037104320,"Census Tract 1043.20, Los Angeles County, California"
1196,318100,20303,6037104401,"Census Tract 1044.01, Los Angeles County, California"
1197,273400,25074,6037104403,"Census Tract 1044.03, Los Angeles County, California"
1198,328400,19801,6037104404,"Census Tract 1044.04, Los Angeles County, California"
1199,342000,12737,6037104500,"Census Tract 1045, Los Angeles County, California"
1200,281200,15519,6037104610,"Census Tract 1046.10, Los Angeles County, California"
1201,277800,29083,6037104620,"Census Tract 1046.20, Los Angeles County, California"
1202,273600,32345,6037104701,"Census Tract 1047.01, Los Angeles County, California"
1203,221700,102167,6037104703,"Census Tract 1047.03, Los Angeles County, California"
1204,172000,39578,6037104704,"Census Tract 1047.04, Los Angeles County, California"
1205,299500,25213,6037104810,"Census Tract 1048.10, Los Angeles County, California"
1206,328300,26405,6037104821,"Census Tract 1048.21, Los Angeles County, California"
1207,359300,42934,6037104822,"Census Tract 1048.22, Los Angeles County, California"
1208,405900,29373,6037106010,"Census Tract 1060.10, Los Angeles County, California"
1209,373900,21306,6037106020,"Census Tract 1060.20, Los Angeles County, California"
1210,336400,18816,6037106111,"Census Tract 1061.11, Los Angeles County, California"
1211,349700,23271,6037106112,"Census Tract 1061.12, Los Angeles County, California"
1212,363000,25363,6037106113,"Census Tract 1061.13, Los Angeles County, California"
1213,256600,22909,6037106114,"Census Tract 1061.14, Los Angeles County, California"
1214,324300,20293,6037106403,"Census Tract 1064.03, Los Angeles County, California"
1215,249000,28907,6037106405,"Census Tract 1064.05, Los Angeles County, California"
1216,291300,49701,6037106406,"Census Tract 1064.06, Los Angeles County, California"
1217,171200,24244,6037106407,"Census Tract 1064.07, Los Angeles County, California"
1218,219000,53982,6037106408,"Census Tract 1064.08, Los Angeles County, California"
1219,415400,34072,6037106510,"Census Tract 1065.10, Los Angeles County, California"
1220,292400,43869,6037106520,"Census Tract 1065.20, Los Angeles County, California"
1221,606900,12295,6037106603,"Census Tract 1066.03, Los Angeles County, California"
1222,395100,39159,6037106604,"Census Tract 1066.04, Los Angeles County, California"
1223,579600,23438,6037106641,"Census Tract 1066.41, Los Angeles County, California"
1224,505900,32719,6037106642,"Census Tract 1066.42, Los Angeles County, California"
1225,766700,50620,6037106643,"Census Tract 1066.43, Los Angeles County, California"
1226,599000,44382,6037106645,"Census Tract 1066.45, Los Angeles County, California"
1227,453800,12690,6037106646,"Census Tract 1066.46, Los Angeles County, California"
1228,342200,27218,6037106648,"Census Tract 1066.48, Los Angeles County, California"
1229,390100,19951,6037106649,"Census Tract 1066.49, Los Angeles County, California"
1230,334000,13662,6037107010,"Census Tract 1070.10, Los Angeles County, California"
1231,317300,20550,6037107020,"Census Tract 1070.20, Los Angeles County, California"
1232,611100,15018,6037108101,"Census Tract 1081.01, Los Angeles County, California"
1233,578900,34326,6037108102,"Census Tract 1081.02, Los Angeles County, California"
1234,737400,45888,6037108103,"Census Tract 1081.03, Los Angeles County, California"
1235,639700,13546,6037108104,"Census Tract 1081.04, Los Angeles County, California"
1236,615700,18522,6037108201,"Census Tract 1082.01, Los Angeles County, California"
1237,695900,60809,6037108202,"Census Tract 1082.02, Los Angeles County, California"
1238,320100,28030,6037109100,"Census Tract 1091, Los Angeles County, California"
1239,368500,26548,6037109200,"Census Tract 1092, Los Angeles County, California"
1240,375700,15307,6037109300,"Census Tract 1093, Los Angeles County, California"
1241,330900,25556,6037109400,"Census Tract 1094, Los Angeles County, California"
1242,315800,22705,6037109500,"Census Tract 1095, Los Angeles County, California"
1243,353200,11464,6037109601,"Census Tract 1096.01, Los Angeles County, California"
1244,351300,20839,6037109603,"Census Tract 1096.03, Los Angeles County, California"
1245,359400,20893,6037109604,"Census Tract 1096.04, Los Angeles County, California"
1246,396800,29130,6037109700,"Census Tract 1097, Los Angeles County, California"
1247,392100,22650,6037109800,"Census Tract 1098, Los Angeles County, California"
1248,402100,22048,6037111100,"Census Tract 1111, Los Angeles County, California"
1249,465500,20651,6037111201,"Census Tract 1112.01, Los Angeles County, California"
1250,451800,18718,6037111202,"Census Tract 1112.02, Los Angeles County, California"
1251,662200,20504,6037111204,"Census Tract 1112.04, Los Angeles County, California"
1252,409900,40155,6037111205,"Census Tract 1112.05, Los Angeles County, California"
1253,510600,36519,6037111206,"Census Tract 1112.06, Los Angeles County, California"
1254,454600,28686,6037111301,"Census Tract 1113.01, Los Angeles County, California"
1255,515700,36759,6037111302,"Census Tract 1113.02, Los Angeles County, California"
1256,438000,26472,6037111400,"Census Tract 1114, Los Angeles County, California"
1257,567300,26557,6037113101,"Census Tract 1131.01, Los Angeles County, California"
